Account Number,Post Date,Check,Description,Debit,Credit,Status,Balance
"",10/13/2016,,,10.00,,Posted,
"",10/13/2016,,,3.20,,Posted,
"",10/13/2016,,,11.96,,Posted,
"",10/13/2016,,,200.00,,Posted,
"",10/12/2016,,,2353.00,,Posted,
"",10/12/2016,,,2.66,,Posted,
"",10/11/2016,,,2.00,,Posted,
"",10/11/2016,,,32.32,,Posted,
"",10/11/2016,,,33.34,,Posted,
"",10/11/2016,,,31.46,,Posted,
"",10/11/2016,,,9.30,,Posted,
"",10/11/2016,,,6.93,,Posted,
"",10/11/2016,,,3.26,,Posted,
"",10/11/2016,,,3.20,,Posted,
"",10/11/2016,,,3.20,,Posted,
"",10/11/2016,,,3.20,,Posted,
"",10/11/2016,,,2.66,,Posted,
"",10/11/2016,,,202.50,,Posted,
"",10/7/2016,,,2200.00,,Posted,
"",10/7/2016,,,23.54,,Posted,
"",10/7/2016,,,2.77,,Posted,
"",10/7/2016,,,,,Posted,
"",10/6/2016,,,650.00,,Posted,
"",10/5/2016,,,6.93,,Posted,
"",10/5/2016,,,3.72,,Posted,
"",10/5/2016,,,2.66,,Posted,
"",10/5/2016,,,,,Posted,
"",10/4/2016,,,10.39,,Posted,
"",10/4/2016,,,4.79,,Posted,
"",10/4/2016,,,3.20,,Posted,
"",10/4/2016,,,.80,,Posted,
"",10/3/2016,,,31.67,,Posted,
"",10/3/2016,,,5.33,,Posted,
"",10/3/2016,,,3.20,,Posted,
"",10/3/2016,,,3.20,,Posted,
"",10/3/2016,,,4.87,,Posted,
"",9/30/2016,,,50.00,,Posted,
"",9/30/2016,,,10.00,,Posted,
"",9/30/2016,,,3.20,,Posted,
"",9/30/2016,,,3.20,,Posted,
"",9/29/2016,,,10.00,,Posted,
"",9/29/2016,,,3.20,,Posted,
"",9/29/2016,,,300.00,,Posted,
"",9/27/2016,,,280.14,,Posted,
"",9/27/2016,,,31.11,,Posted,
"",9/27/2016,,,3.20,,Posted,
"",9/26/2016,,,8.99,,Posted,
"",9/26/2016,,,73.48,,Posted,
"",9/26/2016,,,56.67,,Posted,
"",9/26/2016,,,5.01,,Posted,
"",9/26/2016,,,3.20,,Posted,
"",9/26/2016,,,3.20,,Posted,
"",9/26/2016,,,3.20,,Posted,
"",9/26/2016,,,2.77,,Posted,
"",9/26/2016,,,,,Posted,
"",9/23/2016,,,2.00,,Posted,
"",9/23/2016,,,104.14,,Posted,
"",9/23/2016,,,3.20,,Posted,
"",9/23/2016,,,2.66,,Posted,
"",9/23/2016,,,202.50,,Posted,
"",9/23/2016,,,,,Posted,
"",9/22/2016,,,2398.85,,Posted,
"",9/22/2016,,,23.94,,Posted,
"",9/21/2016,,,299.34,,Posted,
"",9/21/2016,,,271.00,,Posted,
"",9/21/2016,,,2.66,,Posted,
"",9/21/2016,,,2.66,,Posted,
"",9/20/2016,,,6.00,,Posted,
"",9/20/2016,,,3.20,,Posted,
"",9/19/2016,,,500.00,,Posted,
"",9/19/2016,,,169.20,,Posted,
"",9/19/2016,,,20.05,,Posted,
"",9/19/2016,,,3.20,,Posted,
"",9/19/2016,,,3.20,,Posted,
"",9/19/2016,,,3.20,,Posted,
"",9/19/2016,,,3.20,,Posted,
"",9/19/2016,,,3.20,,Posted,
"",9/19/2016,,,2.66,,Posted,
"",9/16/2016,,,293.04,,Posted,
"",9/16/2016,,,2.77,,Posted,
"",9/16/2016,,,2.77,,Posted,
"",9/16/2016,,,33.91,,Posted,
"",9/16/2016,,,30.25,,Posted,
"",9/15/2016,,,1199.43,,Posted,
"",9/15/2016,,,70.94,,Posted,
"",9/15/2016,,,6.93,,Posted,
"",9/15/2016,,,3.20,,Posted,
"",9/14/2016,,,4.26,,Posted,
"",9/13/2016,,,35.30,,Posted,
"",9/13/2016,,,5.54,,Posted,
"",9/13/2016,,,3.42,,Posted,
"",9/12/2016,,,542.49,,Posted,
"",9/12/2016,,,24.61,,Posted,
"",9/12/2016,,,3.20,,Posted,
"",9/12/2016,,,3.20,,Posted,
"",9/12/2016,,,3.20,,Posted,
"",9/12/2016,,,3.20,,Posted,
"",9/12/2016,,,2.77,,Posted,
"",9/12/2016,,,300.00,,Posted,
"",9/9/2016,,,39.55,,Posted,
"",9/9/2016,,,,,Posted,
"",9/9/2016,,,,,Posted,
"",9/8/2016,,,1905.36,,Posted,
"",9/8/2016,,,6.92,,Posted,
"",9/8/2016,,,,,Posted,
"",9/6/2016,,,2.00,,Posted,
"",9/6/2016,,,26.08,,Posted,
"",9/6/2016,,,47.57,,Posted,
"",9/6/2016,,,31.33,,Posted,
"",9/6/2016,,,7.10,,Posted,
"",9/6/2016,,,3.52,,Posted,
